	15948X11	15948X12	15948X13	15948X14	15948X15	15948X16	15948X17	15948X18	15948X20
Hars	17.8686276133898	18.884715332840972	19.388546489373716	19.241308657586423	19.76781130231386	22.048948640026097	20.449009042756416	22.661753270460505	19.871809501370166
Zmat2	18.292046802463982	17.865127873953224	19.629554395642373	18.415819463947024	17.730982671318234	19.635918246004092	16.495725071705902	18.244143533947977	16.79759777910758
Smg5	19.844107905449807	19.48190155168584	17.778106518574056	19.529349520723667	18.6125447115643	18.892810465091628	18.26963146223191	17.632066489160838	19.00666653168836
Cct3	33.669835804223325	29.441558803524995	27.77748760652369	31.21443007237075	29.005080013733828	31.33464919832078	33.482633717673934	34.75786140843668	31.351445176021834
Glmp	4.643514557374107	4.176824120606004	4.601944436139308	4.772329253053358	5.141181013209262	4.910458248616139	4.925255876269263	5.704347615780901	4.928512036346695
Mef2d	17.129548795025297	18.560803975536608	16.555676100099234	16.413998780396685	23.718656457234214	15.605595815454638	20.828171769897683	15.207062276181944	21.245218049193856
Snd1	26.228253151226365	26.295472310771295	25.62171475055871	27.61455678484152	24.268579657272518	24.214039266071232	31.329604906319997	28.765986921495767	24.022238381588085
Col18a1	1.9375938397751422	1.9580867707711118	2.1510816342557564	1.9563271943804708	2.3271888727238945	3.404067174488349	3.5385339607716957	2.7880790630617054	2.5829427291751585
Kpnb1	34.12111560583024	33.01035120408015	33.778590540702154	32.887501509455646	33.25004002673825	31.916967414470506	33.21078553564377	33.0464573287343	31.31090593069496
Npepps	22.12475469883326	22.39584338587424	20.731452220798364	21.087756488023608	24.761571317776248	19.302997012954457	21.303809071408768	18.32048775108092	18.805891260971897
Mrpl10	29.31924937050771	25.415761825195556	28.731568548915185	29.724349024089438	24.490649242560245	28.21962981328412	31.37920759141062	29.46806247160862	26.77939219157571
Cyp51	6.126661437661726	6.307305034823976	6.058594899281494	5.154184181235946	5.477019063104177	5.737518328380378	5.204984821963234	6.445711862785102	5.385790408207019
Tcf25	37.89081763965833	38.60062202321551	35.786470316960454	37.991828513224185	36.627634071638695	37.308075497327394	36.94719229125492	39.646014219027734	35.21882689025786
Tubb6	11.38713995242891	10.07395420603488	9.49764634708619	11.436769374501617	9.389338728715167	13.019522534842908	11.63867766503838	8.726251641097	12.453993357877444
Def8	19.45526336567447	16.819975623956747	16.757670924934775	16.234508823541244	15.385011871538609	20.664491521224143	18.754634611002487	20.682031135531112	17.54068679269194
Meox1	5.971572821234532	6.063299831009829	6.27678707520184	6.410990106799364	5.567986651245115	7.873493508978798	8.514239331123358	15.047384412341081	11.221367462137149
Irx2	2.721941891538664	2.3221100342351977	1.3560903373139104	1.1533411021946385	2.538703901875852	1.5911241304312709	1.4200667670425082	1.116287882486142	1.7892413276814776
Col1a1	5.370145068259594	6.417526420898628	6.917661501474838	6.532333100865665	7.849268063459715	9.945196609516874	15.338157913840247	10.696697693498793	11.161579381009505
Itga3	2.8510646484156505	2.2368079275827353	2.772299470696767	3.082152748455044	2.9527754148066268	2.9213706776587314	3.5275264785102425	3.0849649087306257	3.6567423206694234
Sgca	67.06210468011162	66.17483925829576	60.07621781458812	70.018951328466	59.67715584974654	74.47319251439984	71.209264507439	67.08753818118018	72.38356151952543
Itfg2	3.8219812677012412	3.639759528154787	3.37322690455317	2.9436151964625834	3.3735759851241807	3.1937167205930086	3.4007135312284036	2.754862762324779	2.69466653681991
Tulp3	2.261171354667584	2.0007587332743904	2.269196155110566	1.8855445947681937	2.164816566362108	2.190375821287873	2.743711666932806	2.378801847287853	2.772243272416736
Gtf2h4	6.016491673550528	5.494747115119585	4.947024011940263	5.501976555001454	5.190345059843768	6.666800629889214	6.068480675122095	6.724301853167538	5.7238180100499
Tubb5	42.226399672501046	42.78749473874656	43.80161551016288	47.67910173975208	39.12886033969729	52.91433758789839	45.499496735648506	46.491854675358404	49.99946745248071
Ell2	8.099001190019745	9.191741667819988	8.961677755854216	8.38983912015443	7.820349402106389	5.719945359641483	6.0923985534939185	7.111944627823264	7.189131808978596
Jup	52.42838744770664	53.17565400213196	50.853387649271646	47.57030323104491	51.56618533919438	49.6512643041365	58.59344650597391	51.710394556343346	59.29425088674428
Fkbp10	7.175037155212404	5.706120054473807	7.117637461230616	6.6693411854402385	9.026448180528016	7.2413389217769915	8.367072959838309	6.737293408398707	9.675389591966551
Nom1	3.808388181842153	4.047573745261592	4.02678956328976	4.058688242931311	4.209301852374322	4.1862149673077855	3.8727459921242793	3.533739946902734	3.864096611823062
Ergic1	13.398744639727619	13.303295019124372	14.033094453033229	13.824959702784536	12.418470332577979	12.079097271865564	14.28585686093624	12.354387431823294	14.474180476729902
Tcea3	94.53531749328033	84.87425804857813	82.2488843674604	89.66707594461946	83.75709146845531	75.45438772009206	75.75202951289907	71.7855463998265	70.98710174342258
Ifrd1	19.127843554358204	22.897408392281864	20.774918577855203	22.383179722762232	19.3940814200893	18.324069415068834	17.0922285287162	18.063429714767658	20.599255003929567
Stk38l	5.590991385305711	5.612168222034132	5.94220903301013	5.800828028789602	6.455668649888448	6.480770977410446	6.554154309426962	6.743186982438913	6.78111875964489
Brpf1	5.488217396562919	5.103454579138761	5.461874415984073	6.032070661443077	6.3413981195243645	5.971660964035722	6.574110723927624	5.857511194391704	6.288496808214573
Akr1b3	16.575904233936964	14.543012327214178	14.997565558718978	13.968226540849447	13.142083984937312	16.643620793091035	18.664757600260145	15.885026990171822	15.504365651049307
Gstt1	13.601215334143504	12.374458204940533	13.039330166479909	12.223890205996081	10.298849278232879	10.659091742549759	12.74418893499687	10.37327673603871	10.985804740794038
