	15948X1	15948X10	15948X2	15948X3	15948X4	15948X5	15948X6	15948X7	15948X8	15948X9
Arl15	3.962084030192762	6.555235056274826	5.603989672209765	5.795609516195541	3.433276484533877	3.0162420086608157	5.474850601787953	6.634625339183969	7.34014427295269	5.758618597438765
Arel1	12.60402515414571	11.531348119638727	11.46370843038613	16.86272063638953	11.623278541703188	9.668164675734817	13.829232497609517	11.06810121566436	11.17310823186537	11.125413012018381
Gnl3	6.623015464781144	7.622764501604572	7.78607642218452	10.935234961288801	7.946392613581551	10.901506906481575	9.587552293754483	17.398134566523055	13.38963801999569	11.833504459401176
Osbpl6	2.9862702862421746	2.583593308060694	4.0325449024671025	4.178949637713303	3.0127088310264947	2.0259466174326586	3.213009868040069	3.152459398514613	3.324219000447131	2.62067679646067
Lgalsl	13.479099435970474	17.46726078123977	10.122311065485901	14.129448968943072	12.486062873293717	12.235282389586697	12.488780795074534	15.626662760294064	13.3775018276202	15.079392549390766
Snx18	5.095202642650409	7.815509615054933	5.230209244944926	10.647284429701905	6.492884019547987	5.303368065161504	6.729991188368302	11.65901925871323	12.44368912205545	9.361182002402693
Rbm45	10.0068715571839	7.956109840715835	8.126563431163083	10.353616431603815	8.308517960930628	6.9353035858866985	9.357024884449725	9.887747063316136	11.26725405228552	12.70387180530866
Esm1	1.5889903049080176	0.6858185833584783	1.1675195398072478	0.737880661431743	0.5295817327854793	0.2615483668338291	0.5227819056820024	3.716286593367956	2.470654358922619	3.6362165788309952
Smim12	8.8030373848911	6.801481655215124	7.4263153350537925	9.992579188207054	4.998484648527682	8.318236146167676	10.1904106986732	19.452286898170364	13.482538906453582	11.695628011236543
Tsen2	1.3144428676103008	0.9455368634468962	0.7511733212724344	1.0851357419398573	1.1195378721883171	1.201987563555862	1.369441122162263	1.2663866496500151	0.9421644281979873	0.9032874490832368
Gatad2b	10.930834785314271	9.44208433731513	10.631852344947339	8.69570236966051	9.525678759739632	8.84861939097402	7.900009138630348	6.386194331844539	9.781384397075636	7.536317366263594
Rbm7	6.903378079391725	7.005473176403725	6.249792999383282	10.36136774735657	8.052698747895873	5.985858044724722	8.070975123448637	11.25786771093835	11.418907387260845	10.97900278845765
Dennd4b	4.484515014588287	2.1223091454204726	2.8181114020440394	3.5621329398425265	3.2645379908994316	2.0881953059831067	3.572062205482367	5.651568526239503	5.485308996965685	3.2480197988741457
Atf4	14.523324165750664	19.35119166223748	20.493350781124814	26.631955031712327	17.38129739444098	18.06490863257102	29.538032143687296	58.42301838150173	37.72717559510781	39.808401331477356
